SIMID RA DEC ANGD R0COV R1COV R0AMP FILT MAG CAT BS_BMAG BS_VMAG BSSkyD BSSpT BSRV SimBMAG SIMSpT SIMSkyD SIMRV ErrAmp AmpErrRatio
"b'* alf Vir'" 13.4199 -11.1614 0.8500 0.6105 0.3597 0.7619 Vmag 0.9600 CEDARS 0.7500 0.9800 0.0000 B1III-IV+B2V 159 0.7400 b'B1V' 394.0783 130.0000 0.0459 16.6165
"b'* bet Lib'" 15.2835 -9.3829 0.4866 0.6430 0.0000 0.8733 Vmag 2.6026 TESS 2.5000 2.6100 700.1803 B8V 230 2.5100 b'B8Vn' 222.0073 250.0000 0.2298 3.7996
"b'* bet01 Sco'" 16.0906 -19.8056 0.5100 0.6638 0.0000 0.8975 Vmag 1.5100 CEDARS 2.5500 2.6200 0.0000 B1V 130 2.5500 b'B1V' 582.7318 91.0000 0.2407 3.7293
"b'* eta UMa'" 13.7923 49.3133 1.4000 0.5170 0.9789 0.3954 Vmag 1.9100 CEDARS 1.6700 1.8600 0.0000 B3V 205 1.6700 b'B3V' 439.8997 162.0000 0.1070 3.6954
"b'* gam Crv'" 12.2634 -17.5419 0.7500 0.3258 0.0636 0.8309 Vmag 2.5600 CEDARS 2.4800 2.5900 0.0000 B8IIIpHgMn 41 2.4700 b'B8III' 420.7340 34.0000 0.2256 3.6827
"b'* zet Oph'" 16.6193 -10.5672 0.5200 0.7025 0.0000 0.8859 Vmag 1.5100 CEDARS 2.5800 2.5600 0.0000 O9.5Vn 379 2.5800 b'O9.2IVnn' 743.3415 303.0000 0.2474 3.5809
"b'* alf02 CVn'" 12.9338 38.3183 0.8800 0.7258 0.3556 0.7538 Vmag 2.9000 CEDARS 2.7800 2.9000 0.0000 A0pSiEuHg 29 2.7600 b'A0VpSiEu' 546.4672 "" 0.2974 2.5341
"b'* zet01 UMa'" 13.3987 54.9253 1.1000 0.5574 0.5993 0.4638 Vmag 2.4000 CEDARS 2.2900 2.2700 0.0000 A1VpSrSi 32 2.2710 b'A1.5Vas' 476.7671 25.0000 0.1894 2.4489
"b'* del Crv'" 12.4977 -16.5154 0.8472 0.3669 0.2347 0.7878 Vmag 2.9400 TESS 2.9000 2.9500 857.1124 B9.5V 148 2.8900 b'A0IV(n)kB9' 112.0447 236.0000 0.3322 2.3714
"b'* eta Oph'" 17.1730 -15.7249 1.3772 0.5924 1.0000 0.5250 Vmag 2.4300 TESS 2.4900 2.4300 693.8398 A2V 26 2.4700 b'A2IV-V' 80.7364 23.0000 0.2277 2.3055
