ID1 ID2 UDdiam LDdiam e_LDdiam Band mu-lambda Method BandCode Notes BibCode Com CADARS SimbadName _RA _DE
HD18884 "ALF CET" 9.4 "" "" "" "" 1 "" "" ................... "Carnegie Year Books for 1933, 1935, 1937" 9 HD18884 45.56989 4.08974
HD29139 "ALF TAU" 24 "" "" "" "" 1 "" "" ................... "Carnegie Year Books for 1933, 1935, 1937" 29 HD29139 68.98016 16.50930
HD124897 "ALF BOO" 19 "" "" "" "" 1 "" "" ................... "Carnegie Year Books for 1933, 1935, 1937" 25 HD124897 213.91530 19.18241
"CCDM J16294-2626 A" "ALF SCO" 28 "" "" "" "" 1 "" "" ................... "Carnegie Year Books for 1933, 1935, 1937" 17 "CCDM J16294-2626 A" 247.35192 -26.43200
HD186791 "GAM AQL" 8.4 "" "" "" "" 1 "" "" ................... "Carnegie Year Books for 1933, 1935, 1937" 6 HD186791 296.56492 10.61326
HD206778 "EPS PEG" 8.4 "" "" "" "" 1 "" "" ................... "Carnegie Year Books for 1933, 1935, 1937" 3 HD206778 326.04648 9.87501
HD29139 "ALF TAU" 20 "" "" "" "" 1 "" "" 1931............... "Pease, F.G.: 1931, Ergebn. Exacten Naturwiss. 10, 84" 29 HD29139 68.98016 16.50930
HD39801 "ALF ORI" 34 "" "" "" "" 1 "" "" 1931............... "Pease, F.G.: 1931, Ergebn. Exacten Naturwiss. 10, 84" 24 HD39801 88.79294 7.40706
HD124897 "ALF BOO" 20 "" "" "" "" 1 "" "" 1931............... "Pease, F.G.: 1931, Ergebn. Exacten Naturwiss. 10, 84" 25 HD124897 213.91530 19.18241
"CCDM J16294-2626 A" "ALF SCO" 40 "" "" "" "" 1 "" "" 1931............... "Pease, F.G.: 1931, Ergebn. Exacten Naturwiss. 10, 84" 17 "CCDM J16294-2626 A" 247.35192 -26.43200
HD156014 "ALF HER A" 30 "" "" "" "" 1 "" "" 1931............... "Pease, F.G.: 1931, Ergebn. Exacten Naturwiss. 10, 84" 13 HD156014 258.66189 14.39037
HD217906 "BET PEG" 21 "" "" "" "" 1 "" "" 1931............... "Pease, F.G.: 1931, Ergebn. Exacten Naturwiss. 10, 84" 16 HD217906 345.94357 28.08279
HD28307 "THE 1 TAU" 2.3 2.39 0.1 "" "" 2 "" "" 1946............... "Wood, F.B.: 1946, Contrib.Princeton Univ.Obs. 21, 18" 9 HD28307 67.14373 15.96218
HD102212 "NU VIR" 8 "" "" "" "" 2 "" "" 1951............... "Jager, F.W.: 1951, Die Sterne 27, 51" 9 HD102212 176.46483 6.52937
HD110014 "CHI VIR" 5 "" "" "" "" 2 "" "" 1951............... "Jager, F.W.: 1951, Die Sterne 27, 51" 2 HD110014 189.81153 -7.99557
HD157792 "44 OPH" 0.8 "" "" "" "" 2 "" "" 1951............... "Jager, F.W.: 1951, Die Sterne 27, 51" 3 HD157792 261.59257 -24.17531
"CCDM J16294-2626 A" "ALF SCO" 45 "" 4.5 11 "" 2 11 "" 1953MNRAS.113..776C "" 17 "CCDM J16294-2626 A" 247.35192 -26.43200
"CCDM J16294-2626 A" "ALF SCO" 42 "" "" B "" 2 2 "" 1953MNRAS.113..781E "" 17 "CCDM J16294-2626 A" 247.35192 -26.43200
"CCDM J16294-2626 A" "ALF SCO" 39 "" "" 4300A "" 2 2 "" 1955MNRAS.115..468E "" 17 "CCDM J16294-2626 A" 247.35192 -26.43200
HD44478 "MU GEM" 23 "" 2.4 R? "" 2 4 "Uncertain band." 1959MNSSA..18..158E "" 15 HD44478 95.74011 22.51358
"CCDM J16294-2626 A" "ALF SCO" 40 "" 8.4 5100A "" 2 3 "" 1966Natur.210.1105T "" 17 "CCDM J16294-2626 A" 247.35192 -26.43200
HD102212 "NU VIR" 5.6 "" 0.1 5000A "" 2 3 "" 1967............... "Rakos, K.D.: 1967, Acta Physica Austriaca 26, 152" 9 HD102212 176.46483 6.52937
HD118219 "80 VIR" 2.2 "" 0.2 5000A "" 2 3 "" 1967............... "Rakos, K.D.: 1967, Acta Physica Austriaca 26, 152" 2 HD118219 203.88040 -5.39619
HD10144 "ALF ERI" 1.86 1.93 "" 4385A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 7 HD10144 24.42852 -57.23675
HD34085 "BET ORI" 2.57 2.69 "" 4385A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 10 HD34085 78.63447 -8.20164
HD35468 "GAM ORI" 0.74 0.76 "" 4430A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 9 HD35468 81.28276 6.34970
HD37128 "EPS ORI" 0.704 0.72 "" 4430A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 9 HD37128 84.05339 -1.20192
HD45348 "ALF CAR" 6.48 6.86 "" 4385A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 7 HD45348 95.98796 -52.69566
HD48915 "ALF CMA" 5.85 6.12 0.1 4385A "" 3 2 "In 1974MNRAS.167..121H with markedly (2.5 sigma) different values" 1967MNRAS.137..393H "" 21 HD48915 101.28716 -16.71612
HD52089 "EPS CMA" 0.78 0.81 "" 4430A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 6 HD52089 104.65645 -28.97209
HD61421 "ALF CMI" 5.31 5.71 0.36 4430A "" 3 2 "see also 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 22 HD61421 114.82550 5.22499
HD87901 "ALF LEO" 1.33 1.38 "" 4385A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 16 HD87901 152.09296 11.96721
HD111123 "BET CRU" 0.705 0.728 "" 4430A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 4 HD111123 191.93029 -59.68877
HD172167 "ALF LYR" 3.31 3.47 "" 4430A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 20 HD172167 279.23473 38.78369
HD187642 "ALF AQL" 2.79 2.97 "" 4430A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 14 HD187642 297.69583 8.86832
HD193924 "ALF PAV" 0.77 0.8 "" 4430A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 7 HD193924 306.41190 -56.73509
HD209952 "ALF GRU" 0.98 1.02 "" 4430A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 9 HD209952 332.05827 -46.96097
HD216956 "ALF PSA" 1.98 2.09 "" 4385A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1967MNRAS.137..393H "" 12 HD216956 344.41269 -29.62224
HD216386 "LAM AQR" 7.4 8.2 0.4 V "" 2 3 "" 1970ApJ...160L.181N "" 4 HD216386 343.15366 -7.57961
HD68273 "GAM 2 VEL" 0.44 0.45 "" 4430A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1970MNRAS.148..103H "" 4 HD68273 122.38313 -47.33659
HD66811 "ZET PUP" 0.42 0.43 "" 4430A "" 3 2 "See values Updated in 1974MNRAS.167..121H" 1970MNRAS.150...45D "" 7 HD66811 120.89603 -40.00315
HD102212 "NU VIR" 5.2 "" "" 5470A "" 2 3 "" 1971HiA.....2..675R "" 9 HD102212 176.46483 6.52937
HD91232 "46 LEO" 5.6 "" 1.1 5470A "" 2 3 "" 1971HiA.....2..692P "" 6 HD91232 158.04906 14.13727
HD219215 "PHI AQR" 4.9 "" 0.8 5470A "" 2 3 "" 1971HiA.....2..692P "" 4 HD219215 348.58067 -6.04900
HD23629 "24 TAU" 10 "" "" 5470A "" 2 3 "" 1971HiA.....2..700B "" 2 HD23629 56.83766 24.11627
HD87901 "ALF LEO" 1.7 "" 0.5 5470A "" 2 3 "" 1971HiA.....2..700B "" 16 HD87901 152.09296 11.96721
HD144218 "BET 2 SCO" 0.2 "" "" B "" 2 2 "Occultation by Io, found binary." 1971Natur.234..405T "" 4 HD144218 241.36072 -19.80191
HD64705 "" 0.05 "" "" B "" 2 2 "" 1971PASP...83..156M "" 1 HD64705 119.02688 23.62381
HD169916 "LAM SGR" 4.2 "" 0.3 "" "" 2 "" "text not available" 1972............... "Nather, R.E.: 1972, Ph.D.Dissertation, University Cape Town" 5 HD169916 276.99267 -25.42170
HD144218 "BET 2 SCO B" 0.16 "" 0.05 V "" 2 3 "" 1972AJ.....77...60B "" 4 HD144218 241.36072 -19.80191
HD76221 "X CNC" 7.9 9 2.2 694nm "" 2 4 "" 1972AJ.....77..756B "" 3 HD76221 133.84534 17.23127
HD196777 "UPS CAP" 4.1 4.7 0.5 694nm "" 2 4 "" 1973AJ.....78..199D "" 7 HD196777 310.01227 -18.13866
HD84748 "R LEO" 67 "" 5 750nm "" 2 4 "" 1973AJ.....78..628N "" 10 HD84748 146.88952 11.42884
HD223075 "TX PSC" 9 "" 0.5 706nm "" 2 4 "" 1973PASP...85..109L "" 9 HD223075 356.59797 3.48681
HD223075 "TX PSC" 8 8.9 1 712nm "" 2 4 "" 1974A&A....34..457V "" 9 HD223075 356.59797 3.48681
HD99998 "87 LEO" 3.7 4.1 0.4 547nm "" 2 3 "" 1974AJ.....79..483D "" 5 HD99998 172.57872 -3.00349
HD70276 "V CNC" 2.6 2.8 0.7 845nm "" 2 5 "" 1974AJ.....79..485M "" 1 HD70276 125.42843 17.28513
HD44478 "MU GEM" 12.05 "" 0.13 V "" 2 3 "" 1974AJ.....79.1076W "" 15 HD44478 95.74011 22.51358
HD44478 "MU GEM" 12.3 14 0.7 5800A "" 2 3 "value for reddest channel" 1974AJ.....79.1079R "" 15 HD44478 95.74011 22.51358
HD23630 "ETA TAU" 1.6 "" "" B "" 2 2 "no error given. B Band" 1974AJ.....79.1299M "" 5 HD23630 56.87115 24.10514
HD29139 "ALF TAU" 24 "" 5 6336A "" 1 4 "" 1974ApJ...187..131C "" 29 HD29139 68.98016 16.50930
HD39801 "ALF ORI" 47 "" 6 5024A "" 1 3 "2 companions by speckle. Also spots, plumes..." 1974ApJ...187..131C "" 24 HD39801 88.79294 7.40706
HD124897 "ALF BOO" 26 "" 7 5000A "" 1 3 "" 1974ApJ...187..131C "" 25 HD124897 213.91530 19.18241
HD217906 "BET PEG" 21 "" 6 5803A "" 1 4 "" 1974ApJ...187..131C "" 16 HD217906 345.94357 28.08279
HD23302 "17 TAU" 3 "" "" B? "" 2 2 "" 1974BAAS....6R.216B "" 4 HD23302 56.21890 24.11334
HD48329 "EPS GEM" 1.8 "" "" B? "" 2 2 "" 1974BAAS....6R.216B "" 12 HD48329 100.98303 25.13113
HD49968 "87 GEM" 2.8 "" "" R "" 2 4 "" 1974BAAS....6R.216B "" 2 HD49968 102.99995 23.60172
HD53791 "R GEM" 3.7 "" "" R "" 2 4 "" 1974BAAS....6R.216B "" 2 HD53791 106.83862 22.70354
HD10144 "ALF ERI" 1.85 1.92 0.07 4385A "" 3 2 "" 1974MNRAS.167..121H "" 7 HD10144 24.42852 -57.23675
HD34085 "BET ORI" 2.43 2.55 0.05 4385A "" 3 2 "" 1974MNRAS.167..121H "" 10 HD34085 78.63447 -8.20164
HD35468 "GAM ORI" 0.704 0.72 0.04 4430A "" 3 2 "" 1974MNRAS.167..121H "" 9 HD35468 81.28276 6.34970
HD37128 "EPS ORI" 0.67 0.69 0.04 4430A "" 3 2 "" 1974MNRAS.167..121H "" 9 HD37128 84.05339 -1.20192
HD37742 "ZET ORI" 0.47 0.48 0.04 4430A "" 3 2 "" 1974MNRAS.167..121H "" 7 HD37742 85.18970 -1.94257
HD38771 "KAP ORI" 0.44 "" 0.03 4430A "" 3 2 "" 1974MNRAS.167..121H "" 5 HD38771 86.93912 -9.66960
HD44743 "BET CMA" 0.508 0.52 0.03 4430A "" 3 2 "" 1974MNRAS.167..121H "" 6 HD44743 95.67494 -17.95592
HD45348 "ALF CAR" 6.1 6.6 0.7 4385A "" 3 2 "" 1974MNRAS.167..121H "" 7 HD45348 95.98796 -52.69566
HD47105 "GAM GEM" 1.32 1.39 0.09 4430A "" 3 2 "" 1974MNRAS.167..121H "" 11 HD47105 99.42796 16.39928
HD48915 "ALF CMA" 5.6 5.89 0.15 4430A "" 3 2 "" 1974MNRAS.167..121H "" 21 HD48915 101.28716 -16.71612
HD52089 "EPS CMA" 0.77 0.8 0.05 4430A "" 3 2 "" 1974MNRAS.167..121H "" 6 HD52089 104.65645 -28.97209
HD54605 "DEL CMA" 3.29 3.6 0.46 4430A "" 3 2 "" 1974MNRAS.167..121H "" 7 HD54605 107.09785 -26.39320
HD58350 "ETA CMA" 0.72 0.75 0.06 4430A "" 3 2 "" 1974MNRAS.167..121H "" 6 HD58350 111.02376 -29.30311
HD61421 "ALF CMI" 5.1 5.5 0.16 4430A "" 3 2 "" 1974MNRAS.167..121H "" 22 HD61421 114.82550 5.22499
HD66811 "ZET PUP" 0.41 0.42 0.03 4430A "" 3 2 "" 1974MNRAS.167..121H "" 7 HD66811 120.89603 -40.00315
HD68273 "GAM 2 VEL" 0.43 0.44 0.05 4430A "" 3 2 "Gam02 vel Aa" 1974MNRAS.167..121H "" 4 HD68273 122.38313 -47.33659
HD80007 "BET CAR" 1.51 1.59 0.07 4430A "" 3 2 "" 1974MNRAS.167..121H "" 7 HD80007 138.29991 -69.71721
HD87901 "ALF LEO" 1.32 1.37 0.06 4430A "" 3 2 "" 1974MNRAS.167..121H "" 16 HD87901 152.09296 11.96721
HD102647 "BET LEO" 1.25 1.33 0.09 4430A "" 3 2 "" 1974MNRAS.167..121H "" 11 HD102647 177.26491 14.57206
HD106625 "GAM CRV" 0.72 0.75 0.06 4430A "" 3 2 "" 1974MNRAS.167..121H "" 4 HD106625 183.95154 -17.54193
HD111123 "BET CRU" 0.702 0.722 0.022 4430A "" 3 2 binary 1974MNRAS.167..121H "" 4 HD111123 191.93029 -59.68877
HD116658 "ALF VIR" 0.85 0.87 0.04 4430A "" 3 2 "" 1974MNRAS.167..121H "" 6 HD116658 201.29825 -11.16132
HD118716 "EPS CEN" 0.47 0.48 0.03 4430A "" 3 2 "" 1974MNRAS.167..121H "" 3 HD118716 204.97191 -53.46639
HD143275 "DEL SCO" 0.45 0.46 0.04 4430A "" 3 2 "" 1974MNRAS.167..121H "" 6 HD143275 240.08336 -22.62171
HD149757 "ZET OPH" 0.5 "" 0.05 4430A "" 3 2 "" 1974MNRAS.167..121H "" 6 HD149757 249.28975 -10.56709
HD159561 "ALF OPH" 1.53 1.63 0.12 4430A "" 3 2 "" 1974MNRAS.167..121H "" 12 HD159561 263.73362 12.56004
HD169022 "EPS SGR" 1.37 1.44 0.06 4430A "" 3 2 "" 1974MNRAS.167..121H "" 5 HD169022 276.04299 -34.38462
HD172167 "ALF LYR" 3.08 3.24 0.07 4430A "" 3 2 "" 1974MNRAS.167..121H "" 20 HD172167 279.23473 38.78369
HD187642 "ALF AQL" 2.78 2.98 0.13 4430A "" 3 2 "" 1974MNRAS.167..121H "" 14 HD187642 297.69583 8.86832
HD193924 "ALF PAV" 0.77 0.8 0.05 4430A "" 3 2 "" 1974MNRAS.167..121H "" 7 HD193924 306.41190 -56.73509
HD209952 "ALF GRU" 0.98 1.02 0.07 4430A "" 3 2 "" 1974MNRAS.167..121H "" 9 HD209952 332.05827 -46.96097
HD216956 "ALF PSA" 1.98 2.1 0.13 4430A "" 3 2 "" 1974MNRAS.167..121H "" 12 HD216956 344.41269 -29.62224
HD62141 "192 GEM" 5.65 "" 0.5 754nm "" 2 5 "doubtful diameter according to publication." 1974PDAO...14..271M "" 1 HD62141 115.84241 22.39945
HD223075 "TX PSC" 10 "" 3 754nm "" 2 5 "" 1974PDAO...14..271M "" 9 HD223075 356.59797 3.48681
HD44478 "MU GEM" 12.3 13.5 1.4 640nm "" 2 4 "" 1975AJ.....80...45D "" 15 HD44478 95.74011 22.51358
HD144218 "BET 2 SCO" 0.18 "" "" U,B,R "" 2 4 "method too indirect" 1975AJ.....80..323E "" 4 HD144218 241.36072 -19.80191
