Name RAJ2000 DEJ2000 LDD1 e_LDD1 LDD2 e_LDD2 LDDchi2 dLDD Simbad
"HIP 63" "00 00 43.634" "+45 15 12.00" 0.119 0.008 0.154509 0.004256 1.50414 -4.4385977 Simbad
"HIP 86" "00 01 02.512" "+69 36 12.62" 0.070 0.005 0.080003 0.002445 0.75853 -2.0006880 Simbad
"HIP 145" "00 01 49.448" "-03 01 39.01" 0.197 0.014 0.228219 0.006955 0.01006 -2.2299342 Simbad
"HIP 232" "00 02 55.228" "-30 08 59.18" 0.058 0.004 0.066294 0.001827 1.00506 -2.0734034 Simbad
"HIP 270" "00 03 23.968" "+73 10 28.19" 0.115 0.008 0.131966 0.003705 0.77453 -2.1207920 Simbad
"HIP 297" "00 03 41.845" "+48 26 12.86" 0.136 0.009 0.159666 0.004301 1.05724 -2.6295750 Simbad
"HIP 301" "00 03 44.388" "-17 20 09.56" 0.351 0.024 0.400667 0.030962 1.04080 -2.0694644 Simbad
"HIP 328" "00 04 11.902" "-30 08 05.69" 0.091 0.006 0.104463 0.003008 0.44765 -2.2438006 Simbad
"HIP 377" "00 04 41.309" "-71 26 12.81" 0.170 0.012 0.200679 0.005753 0.18475 -2.5566220 Simbad
"HIP 440" "00 05 19.925" "+68 53 03.95" 0.107 0.007 0.121082 0.003501 0.72330 -2.0117260 Simbad
"HIP 635" "00 07 44.112" "-02 32 55.24" 0.108 0.007 0.156216 0.004488 0.64989 -6.8880650 Simbad
"HIP 701" "00 08 44.038" "+74 12 53.15" 0.079 0.005 0.101910 0.003105 0.95543 -4.5819926 Simbad
"HIP 713" "00 08 49.899" "-60 15 52.42" 0.069 0.005 0.080372 0.001944 17.49219 -2.2744968 Simbad
"HIP 813" "00 10 02.202" "+11 08 44.93" 0.191 0.013 0.225439 0.006488 0.85348 -2.6491191 Simbad
"HIP 857" "00 10 29.680" "+57 09 55.79" 0.097 0.007 0.121044 0.003413 1.80043 -3.4348037 Simbad
"HIP 1123" "00 14 02.281" "+33 12 21.74" 0.164 0.011 0.188849 0.005306 0.40101 -2.2589848 Simbad
"HIP 1191" "00 14 54.514" "-09 34 10.47" 0.168 0.012 0.192799 0.005638 0.06127 -2.0665987 Simbad
"HIP 1193" "00 14 55.899" "+22 17 03.20" 0.162 0.011 0.188809 0.005114 2.00654 -2.4371420 Simbad
"HIP 1215" "00 15 10.565" "+27 17 00.38" 0.153 0.011 0.177822 0.004898 0.38926 -2.2565668 Simbad
